randomindex,X,system.index,Aridity_Index,Biome,CHELSA_Annual_Mean_Temperature,CHELSA_Annual_Precipitation,CHELSA_Isothermality,CHELSA_Max_Temperature_of_Warmest_Month,CHELSA_Mean_Diurnal_Range,CHELSA_Mean_Temperature_of_Coldest_Quarter,CHELSA_Mean_Temperature_of_Driest_Quarter,CHELSA_Mean_Temperature_of_Warmest_Quarter,CHELSA_Mean_Temperature_of_Wettest_Quarter,CHELSA_Min_Temperature_of_Coldest_Month,CHELSA_Precipitation_Seasonality,CHELSA_Precipitation_of_Coldest_Quarter,CHELSA_Precipitation_of_Driest_Month,CHELSA_Precipitation_of_Driest_Quarter,CHELSA_Precipitation_of_Warmest_Quarter,CHELSA_Precipitation_of_Wettest_Month,CHELSA_Precipitation_of_Wettest_Quarter,CHELSA_Temperature_Annual_Range,CHELSA_Temperature_Seasonality,Depth_to_Water_Table,EarthEnvCloudCover_MODCF_interannualSD,EarthEnvCloudCover_MODCF_intraannualSD,EarthEnvCloudCover_MODCF_meanannual,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Eastness,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Northness,EarthEnvTopoMed_ProfileCurvature,EarthEnvTopoMed_Roughness,EarthEnvTopoMed_Slope,Human_Development_Percentage,Human_Disturbance,LandCoverClass_Cultivated_and_Managed_Vegetation,LandCoverClass_Urban_Builtup,SG_Absolute_depth_to_bedrock,SG_Clay_Content_0_100cm,SG_Coarse_fragments_0_100cm,SG_Sand_Content_0_100cm,SG_Silt_Content_0_100cm,SG_Soil_pH_H2O_0_100cm,WDPA,WorldClim2_SolarRadiation_AnnualMean,WorldClim2_WindSpeed_AnnualMean,cropland,grazing,index,info_coverage,leaf_habit,no_plots,pasture,rangeland,year,.geo,longitude,latitude
11843,11843,00000000000000000e17_0,18123,Temperate broadleaf forests,129.85364,1987.9878,81.14891,242.74458,18.216486,37.08442,72.73724,232.06564,232.06564,18.262438,46.804184,288.90033,63.983467,231.95041,862.23694,304.718,862.23694,224.48213,6933.703,47.505417,979,1044,7343,-0.23232742,0.6309947,-0.119111165,537.5,0.20254864,-0.00015908,83,5.9321494,25,0.54944694,25,0,6882.5063,27.777924,15.43626,32.646484,39.57959,54.93852,0,13953.667,4.4333334,16.87879,0.8545668,0,1,5.814036164,1,0.8545668,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[126.63749999999999,33.4375]}",126.6375,33.4375
11853,11853,00000000000000000e3d_0,12366,Temperate broadleaf forests,125.28843,1566.8075,215.97646,275.00183,66.66225,7.4122434,7.4122434,245.23828,245.23828,-33.653313,77.802956,105.0146,31.016077,105.0146,917.3648,334.26532,917.3648,308.65512,8534.813,34.04843,1000,1244,6296,-0.7597153,0.56022036,-0.31378582,310,0.3573433,-0.000546261,162.5,13.140429,0,0.39808244,0,0,1729.2662,23.148106,16.94435,38.63813,38.293407,57.0802,0,14234,2.4833333,9.419446,0.7420924,0,1,11.55908327,1,0.7420924,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.17083333333335,35.112500000000004]}",127.1708333,35.1125
11856,11856,00000000000000000e49_0,12874,Temperate broadleaf forests,94.57569,1484.5713,218.77353,263.59378,80.609146,-50.73349,-50.73349,227.74373,227.74373,-104.86561,99.86485,64.96512,20.99946,64.96512,1085.9792,417.15848,1085.9792,368.45938,9978.42,13.020485,1035,1365,5952,-0.93549335,0.14949353,-0.011072126,452,0.2629006,5.68E-05,140,11.549786,0,0.3933786,0,0,2629.7996,20.674246,18.303915,39.005302,40.330975,59.764362,0,13038.25,1.825,15.02074,0,0,1,7.337848988,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.41250000000002,38.2125]}",127.4125,38.2125
11858,11858,00000000000000000e4b_0,12901,Temperate broadleaf forests,101.95985,1268.8594,218.78638,271.23743,80.81224,-44.063084,-44.063084,235.2299,235.2299,-98.12853,95.87463,61.948994,19.982904,61.948994,898.90063,348.91003,898.90063,369.366,10012.837,35.72307,1038,1310,5858,-0.34484133,0.93865,-0.6311319,325,0.06629825,-0.00021809,104,10.188313,26,0.55911005,26,0,2331.316,20.098549,19.57688,41.800972,38.07837,59.46288,0,13075.5,1.7,15.02074,0,0,1,1.435974483,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.41250000000002,38.17916666666667]}",127.4125,38.17916667
11859,11859,00000000000000000e4d_0,12874,Temperate broadleaf forests,94.57569,1484.5713,218.77353,263.59378,80.609146,-50.73349,-50.73349,227.74373,227.74373,-104.86561,99.86485,64.96512,20.99946,64.96512,1085.9792,417.15848,1085.9792,368.45938,9978.42,13.020485,1035,1365,5952,-0.93549335,0.14949353,-0.011072126,452,0.2629006,5.68E-05,140,11.549786,0,0.3933786,0,0,2629.7996,20.674246,18.303915,39.005302,40.330975,59.764362,0,13038.25,1.825,15.02074,0,0,1,17.14559392,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.41250000000002,38.2125]}",127.4125,38.2125
11861,11861,00000000000000000e4f_0,12874,Temperate broadleaf forests,94.57569,1484.5713,218.77353,263.59378,80.609146,-50.73349,-50.73349,227.74373,227.74373,-104.86561,99.86485,64.96512,20.99946,64.96512,1085.9792,417.15848,1085.9792,368.45938,9978.42,13.020485,1035,1365,5952,-0.93549335,0.14949353,-0.011072126,452,0.2629006,5.68E-05,140,11.549786,0,0.3933786,0,0,2629.7996,20.674246,18.303915,39.005302,40.330975,59.764362,0,13038.25,1.825,15.02074,0,0,1,3.235710932,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.41250000000002,38.2125]}",127.4125,38.2125
11862,11862,00000000000000000e54_0,11703,Temperate broadleaf forests,111.382286,1674.1688,250.51894,276.84247,86.12454,-20.483011,-20.483011,239.18884,239.18884,-66.94222,81.391,118.90052,38.966652,118.90052,1059.4012,398.366,1059.4012,343.78467,9365.938,73.5372,1003,1189,5970,0.91685283,-0.08690759,-0.00511648,465.5,0.04169486,0.000185874,124.5,11.155049,0,0.56805104,0,0,2675.429,22.00604,19.004684,39.531754,38.612343,57.467285,0,14094.833,2.0416665,7.1292543,0,0,1,12.77969002,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.48750000000001,36.30416666666667]}",127.4875,36.30416667
11863,11863,00000000000000000e56_0,11703,Temperate broadleaf forests,111.382286,1674.1688,250.51894,276.84247,86.12454,-20.483011,-20.483011,239.18884,239.18884,-66.94222,81.391,118.90052,38.966652,118.90052,1059.4012,398.366,1059.4012,343.78467,9365.938,73.5372,1003,1189,5970,0.91685283,-0.08690759,-0.00511648,465.5,0.04169486,0.000185874,124.5,11.155049,0,0.56805104,0,0,2675.429,22.00604,19.004684,39.531754,38.612343,57.467285,0,14094.833,2.0416665,7.1292543,0,0,1,8.751690333,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.48750000000001,36.30416666666667]}",127.4875,36.30416667
11864,11864,00000000000000000e57_0,11703,Temperate broadleaf forests,111.382286,1674.1688,250.51894,276.84247,86.12454,-20.483011,-20.483011,239.18884,239.18884,-66.94222,81.391,118.90052,38.966652,118.90052,1059.4012,398.366,1059.4012,343.78467,9365.938,73.5372,1003,1189,5970,0.91685283,-0.08690759,-0.00511648,465.5,0.04169486,0.000185874,124.5,11.155049,0,0.56805104,0,0,2675.429,22.00604,19.004684,39.531754,38.612343,57.467285,0,14094.833,2.0416665,7.1292543,0,0,1,8.515843432,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.48750000000001,36.30416666666667]}",127.4875,36.30416667
11866,11866,00000000000000000e5a_0,12941,Temperate broadleaf forests,103.56566,1580.1935,250.71526,264.10324,83.27659,-21.566525,-21.566525,228.13434,228.13434,-68.05294,72.469894,119.968475,36.000458,119.968475,911.3699,333.70135,911.3699,332.15616,8981.187,15.381714,940,1098,6720,0.19803806,-0.8872604,-0.033866346,672.5,-0.017300451,-9.71E-05,133,12.051431,0,0.4220556,0,0,2140.817,20.263742,18.256826,38.835175,40.79825,57.05985,0,13979.5,2.325,17.34994,0.18440601,0,1,14.91876523,1,0.18440601,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.52916666666664,35.62083333333334]}",127.5291667,35.62083333
11867,11867,00000000000000000e5b_0,13250,Temperate broadleaf forests,98.237236,1674.2858,251.04753,258.5647,83.14873,-26.262274,-26.262274,222.64949,222.64949,-72.64249,76.355865,122.95151,36.983837,122.95151,1003.2116,367.67062,1003.2116,331.2072,8951.668,24.322273,928,1071,6778,0.8398419,-0.5418539,0.1712777,757.5,-0.19564152,-0.000266068,178,15.233327,0,0.39240432,0,0,2090.7373,19.794031,17.949184,39.380066,40.734463,56.812817,0,13924.667,2.4083333,17.34994,0.18440601,0,1,5.018939972,1,0.18440601,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.52916666666664,35.612500000000004]}",127.5291667,35.6125
11868,11868,00000000000000000e60_0,12926,Temperate broadleaf forests,123.06161,1571.4125,217.01659,271.59488,66.854866,5.104844,5.104844,242.14392,225.26361,-36.468697,87.83215,70.2179,20.05046,70.2179,979.5471,374.50323,1012.4271,308.06357,8491.892,80.99789,912,1503,6601,-0.97708493,-0.15005241,-0.006902811,385,0.6062958,-0.000149398,135,12.164991,46,0.5080626,46,0,2065.6426,24.284132,20.990314,36.32206,39.30934,58.14699,0,14012,3.1583333,12.675184,0.13821882,0,1,4.956896594,1,0.13821882,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.61250000000001,35.079166666666666]}",127.6125,35.07916667
11871,11871,00000000000000000e63_0,12926,Temperate broadleaf forests,123.06161,1571.4125,217.01659,271.59488,66.854866,5.104844,5.104844,242.14392,225.26361,-36.468697,87.83215,70.2179,20.05046,70.2179,979.5471,374.50323,1012.4271,308.06357,8491.892,80.99789,912,1503,6601,-0.97708493,-0.15005241,-0.006902811,385,0.6062958,-0.000149398,135,12.164991,46,0.5080626,46,0,2065.6426,24.284132,20.990314,36.32206,39.30934,58.14699,0,14012,3.1583333,12.675184,0.13821882,0,1,5.096508302,1,0.13821882,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.61250000000001,35.079166666666666]}",127.6125,35.07916667
11872,11872,00000000000000000e7e_0,11704,Temperate broadleaf forests,140.15375,1415.6514,214.30925,288.21893,66.24059,20.878021,20.878021,259.148,258.86362,-20.869852,77.966324,69.0668,19.00028,69.0668,814.4005,296.30237,814.8368,309.08878,8532.121,0,1026,1523,5448,0.3744184,0.9177943,-0.029592235,85,-0.042142212,-0.000135108,56,4.9304175,80,0.65098697,80,0,2186.3806,24.70853,13.15691,39.14348,36.14057,57.71714,0,14143.917,2.55,25.689184,0.56087947,0,1,6.149733375,1,0.56087947,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.82916666666665,35.07083333333333]}",127.8291667,35.07083333
11874,11874,00000000000000000e84_0,11900,Temperate broadleaf forests,112.52976,985.93756,213.39124,277.52386,76.326454,-29.61389,-29.61389,243.24004,243.24004,-80.1593,88.52182,55.115646,18.033066,55.115646,668.293,241.46414,668.293,357.68317,9787.063,0,1001,1202,5470,0.5397781,-0.5582136,-0.031850837,176,0.24819085,-0.000420159,49,4.0134134,0,0.17313273,0,0,1925.3107,20.780346,18.892979,41.89843,37.47497,59.588932,0,13116.25,1.6416667,0.20284933,0,0,1,6.829426967,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.86250000000001,38.104166666666664]}",127.8625,38.10416667
11875,11875,00000000000000000e86_0,11900,Temperate broadleaf forests,112.52976,985.93756,213.39124,277.52386,76.326454,-29.61389,-29.61389,243.24004,243.24004,-80.1593,88.52182,55.115646,18.033066,55.115646,668.293,241.46414,668.293,357.68317,9787.063,0,1001,1202,5470,0.5397781,-0.5582136,-0.031850837,176,0.24819085,-0.000420159,49,4.0134134,0,0.17313273,0,0,1925.3107,20.780346,18.892979,41.89843,37.47497,59.588932,0,13116.25,1.6416667,0.20284933,0,0,1,13.42164997,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.86250000000001,38.104166666666664]}",127.8625,38.10416667
11876,11876,00000000000000000e87_0,11900,Temperate broadleaf forests,112.52976,985.93756,213.39124,277.52386,76.326454,-29.61389,-29.61389,243.24004,243.24004,-80.1593,88.52182,55.115646,18.033066,55.115646,668.293,241.46414,668.293,357.68317,9787.063,0,1001,1202,5470,0.5397781,-0.5582136,-0.031850837,176,0.24819085,-0.000420159,49,4.0134134,0,0.17313273,0,0,1925.3107,20.780346,18.892979,41.89843,37.47497,59.588932,0,13116.25,1.6416667,0.20284933,0,0,1,3.646934884,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.86250000000001,38.104166666666664]}",127.8625,38.10416667
11877,11877,00000000000000000e91_0,13487,Temperate broadleaf forests,124.154106,2018.496,178.57042,260.44333,50.606438,13.095413,13.095413,237.61713,218.95793,-22.954313,71.57438,94.18457,26.050373,94.18457,1037.8118,381.78033,1084.4425,283.3976,8021.3564,62.428513,1052,1403,5658,-0.7120724,-0.26865003,-0.041604355,445,-0.18494374,0.000687477,171.5,15.277835,0,0.45269912,0,0,1897.355,24.229115,15.210337,38.133396,37.630684,55.59615,0,13905.25,3.4666667,16.36581,0.741172,0,1,11.38406129,1,0.741172,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.91250000000002,34.7875]}",127.9125,34.7875
11878,11878,00000000000000000e92_0,12915,Temperate broadleaf forests,131.819,1967.5739,177.8795,268.43005,50.56728,20.258675,20.258675,245.52365,226.71553,-15.848322,72.22848,91.2,25.066538,91.2,1021.0941,375.4967,1065.7084,284.27835,8047.7856,11.456716,1091,1385,5563,-0.4804607,0.87546927,-0.21933073,314,0.1410371,-0.000189828,175,15.30767,0,0.4648846,0,0,1831.9258,24.4943,14.824804,39.214752,36.27184,56.725708,0,13956.667,3.2916667,11.41949,0.95900553,0,1,5.697119277,1,0.95900553,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.92083333333335,34.7875]}",127.9208333,34.7875
11879,11879,00000000000000000e94_0,12915,Temperate broadleaf forests,131.819,1967.5739,177.8795,268.43005,50.56728,20.258675,20.258675,245.52365,226.71553,-15.848322,72.22848,91.2,25.066538,91.2,1021.0941,375.4967,1065.7084,284.27835,8047.7856,11.456716,1091,1385,5563,-0.4804607,0.87546927,-0.21933073,314,0.1410371,-0.000189828,175,15.30767,0,0.4648846,0,0,1831.9258,24.4943,14.824804,39.214752,36.27184,56.725708,0,13956.667,3.2916667,11.41949,0.95900553,0,1,2.506121788,1,0.95900553,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.92083333333335,34.7875]}",127.9208333,34.7875
11881,11881,00000000000000000e97_0,11920,Temperate broadleaf forests,129.79599,1583.5063,232.78221,283.33078,74.58399,7.4576077,7.4576077,251.04599,251.04599,-37.071724,79.34728,76.799965,18.96646,76.799965,948.06036,319.29843,948.06036,320.4025,8732.897,124.05692,1117,1488,5434,0.74930537,-0.16023272,0.08564434,261.5,-0.00122831,0.000196607,100.5,7.8520985,0,0.45869982,0,0,2582.0068,23.778276,14.142265,39.879925,36.42829,57.61885,0,14034.25,2.4,28.89604,1.283638,0,1,1.013623232,1,1.283638,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.92083333333335,35.25416666666667]}",127.9208333,35.25416667
11882,11882,00000000000000000e98_0,11920,Temperate broadleaf forests,129.79599,1583.5063,232.78221,283.33078,74.58399,7.4576077,7.4576077,251.04599,251.04599,-37.071724,79.34728,76.799965,18.96646,76.799965,948.06036,319.29843,948.06036,320.4025,8732.897,124.05692,1117,1488,5434,0.74930537,-0.16023272,0.08564434,261.5,-0.00122831,0.000196607,100.5,7.8520985,0,0.45869982,0,0,2582.0068,23.778276,14.142265,39.879925,36.42829,57.61885,0,14034.25,2.4,28.89604,1.283638,0,1,10.76775191,1,1.283638,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.92083333333335,35.25416666666667]}",127.9208333,35.25416667
11884,11884,00000000000000000e9a_0,12802,Temperate broadleaf forests,113.43942,1097.8359,225.08614,278.96213,79.77727,-26.439663,-26.439663,243.29727,243.29727,-75.46785,95.34177,53.983097,17.983185,53.983097,777.1858,279.78467,777.1858,354.43002,9694.329,68.88656,958,1335,6090,0.8756804,0.22004844,-0.07847142,273,0.009059509,-0.000211794,86,6.559601,0,0.41654214,0,0,2095.4426,21.200712,17.376137,40.390793,38.476685,61.126392,0,13098.667,1.725,11.253512,0.19508076,0,1,6.232619629,1,0.19508076,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.94583333333333,37.5625]}",127.9458333,37.5625
11885,11885,00000000000000000e9c_0,12711,Temperate broadleaf forests,115.87868,1058.984,224.68184,281.39212,79.66058,-24.165907,-24.165907,245.78569,245.78569,-73.15627,95.18816,52.016727,17,52.016727,749.9512,272.0842,749.9512,354.54837,9702.52,26.03776,1001,1269,6045,-0.1102597,0.7268927,0.013819625,212,-0.13446318,-0.000762759,82.5,7.7171907,0,0.3955157,0,0,2150.5032,20.149618,15.911047,40.932148,38.98668,61.70822,0,13102.75,1.7166667,11.253512,0.19508076,0,1,1.279121647,1,0.19508076,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.95416666666665,37.5625]}",127.9541667,37.5625
11893,11893,00000000000000000ece_0,11624,Temperate broadleaf forests,114.33693,1319.8456,242.82397,278.25482,83.520164,-19.03465,-19.03465,241.68324,241.68324,-65.69886,89.38486,67.21765,21.050377,67.21765,865.8064,337.26868,865.8064,343.9537,9387.678,16.744764,980,1488,6125,-0.9891839,0.044195175,0.029233027,390.5,-0.03208934,-0.000216832,101.5,9.79701,12,0.38949114,12,0,1994.5186,22.311718,16.90229,36.027756,41.728867,59.07373,0,13407.917,1.8166667,13.668961,0.0661312,0,1,3.633004904,1,0.0661312,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[128.3458333333333,36.729166666666664]}",128.3458333,36.72916667
11894,11894,00000000000000000ecf_0,11624,Temperate broadleaf forests,114.33693,1319.8456,242.82397,278.25482,83.520164,-19.03465,-19.03465,241.68324,241.68324,-65.69886,89.38486,67.21765,21.050377,67.21765,865.8064,337.26868,865.8064,343.9537,9387.678,16.744764,980,1488,6125,-0.9891839,0.044195175,0.029233027,390.5,-0.03208934,-0.000216832,101.5,9.79701,12,0.38949114,12,0,1994.5186,22.311718,16.90229,36.027756,41.728867,59.07373,0,13407.917,1.8166667,13.668961,0.0661312,0,1,3.690078169,1,0.0661312,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[128.3458333333333,36.729166666666664]}",128.3458333,36.72916667
11895,11895,00000000000000000ed0_0,11624,Temperate broadleaf forests,114.33693,1319.8456,242.82397,278.25482,83.520164,-19.03465,-19.03465,241.68324,241.68324,-65.69886,89.38486,67.21765,21.050377,67.21765,865.8064,337.26868,865.8064,343.9537,9387.678,16.744764,980,1488,6125,-0.9891839,0.044195175,0.029233027,390.5,-0.03208934,-0.000216832,101.5,9.79701,12,0.38949114,12,0,1994.5186,22.311718,16.90229,36.027756,41.728867,59.07373,0,13407.917,1.8166667,13.668961,0.0661312,0,1,2.423371733,1,0.0661312,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[128.3458333333333,36.729166666666664]}",128.3458333,36.72916667
11896,11896,00000000000000000ee1_0,13581,Temperate broadleaf forests,80.04318,1428.2097,196.78969,233.66756,63.758232,-48.182964,-48.182964,204.61462,204.61462,-90.32418,66.109726,127.74995,35.916836,127.74995,792.2785,264.16495,792.2785,323.99176,9040.635,29.922062,961,982,7089,0.47103488,-0.8115291,-0.002077498,854,-0.007075201,-0.000220079,148.5,12.195922,19,0.22736154,19,0,2080.2622,18.810274,18.44095,43.17367,37.978817,53.706955,0,12830.833,2.7916667,1.1108347,0,0,1,5.820570921,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[128.45416666666665,37.80416666666667]}",128.4541667,37.80416667
11897,11897,00000000000000000ee2_0,13380,Temperate broadleaf forests,86.26792,1240.654,196.05367,239.81339,63.632248,-42.54882,-42.54882,210.83292,210.83292,-84.75215,65.711006,115.7673,31.966911,115.7673,687.9508,231.65007,687.9508,324.5655,9065.104,145.57683,947,1015,6973,0.9438677,0.08216104,0.005535129,766,-0.50674134,7.56E-05,168,14.440771,0,0.28360885,0,0,2258.6453,17.671314,18.185131,42.666164,39.617428,54.98006,0,12835.75,2.6583333,1.1108347,0,0,1,2.6424958,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[128.45416666666665,37.8125]}",128.4541667,37.8125
11898,11898,00000000000000000ee4_0,13581,Temperate broadleaf forests,80.04318,1428.2097,196.78969,233.66756,63.758232,-48.182964,-48.182964,204.61462,204.61462,-90.32418,66.109726,127.74995,35.916836,127.74995,792.2785,264.16495,792.2785,323.99176,9040.635,29.922062,961,982,7089,0.47103488,-0.8115291,-0.002077498,854,-0.007075201,-0.000220079,148.5,12.195922,19,0.22736154,19,0,2080.2622,18.810274,18.44095,43.17367,37.978817,53.706955,0,12830.833,2.7916667,1.1108347,0,0,1,3.005161421,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[128.45416666666665,37.80416666666667]}",128.4541667,37.80416667
11907,11907,00000000000000000f0b_0,12750,Temperate broadleaf forests,97.31414,1365.9028,176.71219,243.98688,54.619534,-27.077692,-27.077692,218.77136,218.77136,-65.1007,76.00736,113.19747,29.066069,113.19747,801.2121,285.0983,801.2121,309.08755,8800.701,102.25716,1073,1172,6642,-0.43718207,0.89933616,0.030123748,577,-0.07361701,0.000143459,163,13.895767,6,0.2881896,6,0,2104.305,19.116821,19.021988,45.351685,35.47097,54.209053,0,12836.917,2.875,0.12881376,0,0,1,9.824906459,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[128.67916666666667,37.80416666666667]}",128.6791667,37.80416667
11908,11908,00000000000000000f0c_0,12750,Temperate broadleaf forests,97.31414,1365.9028,176.71219,243.98688,54.619534,-27.077692,-27.077692,218.77136,218.77136,-65.1007,76.00736,113.19747,29.066069,113.19747,801.2121,285.0983,801.2121,309.08755,8800.701,102.25716,1073,1172,6642,-0.43718207,0.89933616,0.030123748,577,-0.07361701,0.000143459,163,13.895767,6,0.2881896,6,0,2104.305,19.116821,19.021988,45.351685,35.47097,54.209053,0,12836.917,2.875,0.12881376,0,0,1,8.006404042,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[128.67916666666667,37.80416666666667]}",128.6791667,37.80416667
11909,11909,00000000000000000f0d_0,12750,Temperate broadleaf forests,97.31414,1365.9028,176.71219,243.98688,54.619534,-27.077692,-27.077692,218.77136,218.77136,-65.1007,76.00736,113.19747,29.066069,113.19747,801.2121,285.0983,801.2121,309.08755,8800.701,102.25716,1073,1172,6642,-0.43718207,0.89933616,0.030123748,577,-0.07361701,0.000143459,163,13.895767,6,0.2881896,6,0,2104.305,19.116821,19.021988,45.351685,35.47097,54.209053,0,12836.917,2.875,0.12881376,0,0,1,4.955912902,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[128.67916666666667,37.80416666666667]}",128.6791667,37.80416667
11911,11911,00000000000000000f25_0,13574,Temperate broadleaf forests,77.62893,1241.4387,194.21428,224.76237,59.21029,-42.511578,-42.511578,197.916,197.916,-80.108604,79.74593,89.8494,21.983185,89.8494,781.16046,267.7144,781.16046,304.87097,8603.797,46.360214,922,1094,7245,0.101612255,0.57995576,0.071813405,1027.5,0.058880948,5.33E-05,99.5,8.081398,0,0.5126761,0,0,1899.5173,17.68408,19.069067,43.178955,39.095325,54.047142,0,12803.667,3.0166667,5.9213862,0,0,1,6.95035325,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[128.9375,37.1875]}",128.9375,37.1875
11913,11913,00000000000000000f55_0,10769,Temperate broadleaf forests,123.7989,1418.4117,189.31497,263.79483,55.21487,9.313744,9.313744,238.8478,238.8478,-27.8612,56.342663,128.96681,37.000088,128.96681,679.31195,232.9484,679.31195,291.656,8187.967,98.93372,1008,1051,6435,0.78371334,-0.36002356,-0.06243902,405,-0.010541162,0.000342315,120,7.9422035,20,0.4633846,20,0,1701.4628,23.429996,17.992966,35.233067,41.35162,57.59407,0,13086.333,2.925,0.41539997,0,0,1,13.17419824,1,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[129.3458333333333,35.87916666666667]}",129.3458333,35.87916667
11940,11940,00000000000000001e89_0,4915,Temperate broadleaf forests,208.91995,821.50195,333.81134,343.2037,93.8895,115.47181,115.47181,292.6442,234.0821,61.938545,28.425467,148.05017,47.016724,148.05017,152.10034,106.05017,305.1338,281.26514,6430.4946,0.024599986,1250,555,5479,-0.4716758,0.7331816,0.21064931,119,-0.19588605,-2.08E-05,6,0.40805644,79,0.2536365,79,0,1804.1333,28.542706,1.4348319,43.511494,27.849918,66.77201,0,16633.666,3.425,17.766287,70.76553,0,1,0,1,70.76553,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.70416666666667,29.679166666666667]}",-97.70416667,29.67916667
11942,11942,00000000000000001ed8_0,5528,Temperate broadleaf forests,204.86652,957.1509,330.35553,337.66418,91.99981,111.95416,288.39435,288.39435,264.1745,59.17693,29.169703,182.80026,49.950123,167.88327,167.88327,123.90027,335.73364,278.48724,6413.948,10.661281,1307,408,5615,0.27346027,0.7787866,0.36156303,137,0.13571692,2.94E-06,10,0.670047,21,0.19443256,21,0,1431.8295,19.591936,3.0163174,60.23888,20.211884,57.728703,0,16470.666,3.325,11.927607,63.309483,0,1,10.15151615,1,63.309483,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.2625,29.8125]}",-97.2625,29.8125
11943,11943,00000000000000001f5f_0,6210,Temperate broadleaf forests,199.04202,1025.7168,323.81506,335.78134,92.15165,103.20637,286.98703,286.98703,225.7121,51.200256,19.183783,242.94983,58.983555,184.9501,184.9501,115.96655,326.88324,284.58112,6679.546,11.019124,1195,473,5571,-0.5823427,-0.69325686,-0.28700122,96.5,-0.31451723,-1.00E-05,8,0.5877869,67,0.28067797,67,0,4089.5317,24.989952,2.4356866,50.89912,24.077103,58.726448,0,16099,3.1416667,18.181961,61.8546,0,1,0,2,61.8546,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.1125,30.745833333333337]}",-96.1125,30.74583333
11944,11944,00000000000000001ff4_0,6922,Temperate broadleaf forests,182.2979,1064.3651,291.26437,333.28668,89.50511,75.16162,284.68497,284.68497,209.53305,25.988184,18.983585,234.01645,52.033154,177.09947,177.09947,117.06632,336.16583,307.29852,7537.9526,0,1104,397,5161,-2.38E-07,-0.3017879,-0.17503336,118,-0.014845952,-5.44E-05,8,0.72546077,0,0.20248568,0,0,1286.3779,27.573633,1.3357364,36.448925,35.974213,57.405552,0,16008.5,3.3666666,32.27026,43.018063,0,1,0,1,43.018063,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.39583333333333,33.204166666666666]}",-95.39583333,33.20416667
